experiment_id,task_id,task_type,model,temperature,max_output_tokens,repeat_index,http_status,latency_ms,prompt_tokens,completion_tokens,total_tokens,api_success,task_success,format_valid,fact_error,answer,error_type,timestamp
A-classification-t0,classification-001,CLASSIFICATION,deepseek-v4-pro,0.0,256,1,200,1901,58,62,120,true,true,true,,支付问题,,2026-06-22T14:12:34.489808400Z
A-classification-t0,classification-001,CLASSIFICATION,deepseek-v4-pro,0.0,256,2,200,1383,58,48,106,true,true,true,,支付问题,,2026-06-22T14:12:36.883636800Z
A-classification-t0,classification-001,CLASSIFICATION,deepseek-v4-pro,0.0,256,3,200,1528,58,31,89,true,true,true,,支付问题,,2026-06-22T14:12:39.425595300Z
A-classification-t0,classification-001,CLASSIFICATION,deepseek-v4-pro,0.0,256,4,200,1673,58,43,101,true,true,true,,支付问题,,2026-06-22T14:12:42.106973Z
A-classification-t0,classification-001,CLASSIFICATION,deepseek-v4-pro,0.0,256,5,200,1244,58,28,86,true,true,true,,支付问题,,2026-06-22T14:12:44.364244700Z
B-classification-t07,classification-001,CLASSIFICATION,deepseek-v4-pro,0.7,256,1,200,1354,58,16,74,true,true,true,,支付问题,,2026-06-22T14:12:46.725864800Z
B-classification-t07,classification-001,CLASSIFICATION,deepseek-v4-pro,0.7,256,2,200,1325,58,46,104,true,true,true,,支付问题,,2026-06-22T14:12:49.061631500Z
B-classification-t07,classification-001,CLASSIFICATION,deepseek-v4-pro,0.7,256,3,200,1641,58,61,119,true,true,true,,支付问题,,2026-06-22T14:12:51.720362900Z
B-classification-t07,classification-001,CLASSIFICATION,deepseek-v4-pro,0.7,256,4,200,1530,58,51,109,true,true,true,,支付问题,,2026-06-22T14:12:54.266651400Z
B-classification-t07,classification-001,CLASSIFICATION,deepseek-v4-pro,0.7,256,5,200,1615,58,51,109,true,true,true,,支付问题,,2026-06-22T14:12:56.891037Z
C-open-generation-t0,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,0.0,256,1,200,2405,46,79,125,true,true,true,,"闲置换宝
校园易栈
学缘旧物",,2026-06-22T14:13:00.317508700Z
C-open-generation-t0,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,0.0,256,2,200,1735,46,59,105,true,true,true,,"闲鱼校园
旧物圈
换享集市",,2026-06-22T14:13:03.054984100Z
C-open-generation-t0,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,0.0,256,3,200,3852,46,144,190,true,true,true,,"校园易物
旧物新生
青春流转",,2026-06-22T14:13:07.916496600Z
C-open-generation-t0,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,0.0,256,4,200,2105,46,93,139,true,true,true,,"校易淘
转转校园
二手集",,2026-06-22T14:13:11.038147800Z
C-open-generation-t0,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,0.0,256,5,200,1895,46,44,90,true,true,true,,"闲鱼校园
旧物驿站
易舍集",,2026-06-22T14:13:13.936262700Z
D-open-generation-t1,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,1.0,256,1,200,1970,46,64,110,true,true,true,,"易物园
闲转校
二手坊",,2026-06-22T14:13:16.921076100Z
D-open-generation-t1,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,1.0,256,2,200,1757,46,42,88,true,true,true,,"易淘园
学苑流转
同窗集市",,2026-06-22T14:13:19.683686600Z
D-open-generation-t1,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,1.0,256,3,200,1954,46,46,92,true,true,true,,"闲鱼校园
换享集市
转转学苑",,2026-06-22T14:13:22.644726900Z
D-open-generation-t1,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,1.0,256,4,200,3568,46,157,203,true,true,true,,"校园易换
学友转手
青葱互换",,2026-06-22T14:13:27.224632100Z
D-open-generation-t1,open-generation-001,OPEN_GENERATION,deepseek-v4-pro,1.0,256,5,200,3348,46,120,166,true,true,true,,"校园易物  
二手淘吧  
学苑换享",,2026-06-22T14:13:31.589615Z
E-hallucination-t0,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.0,256,1,200,3115,53,162,215,true,true,true,,"我无法确认您提到的“清华大学混沌计算实验室”及其所发布的“ChaosRAG-7B”模型的相关信息。  
截至目前，公开资料中不存在名为“清华大学混沌计算实验室”的官方机构，也没有任何关于“ChaosRAG-7B”模型架构与测试成绩的可信记录。  
如证据不足，我无法提供该模型的任何细节，也不应编造不存在的内容。建议您核实信息来源是否准确。",,2026-06-22T14:13:35.712862800Z
E-hallucination-t0,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.0,256,2,200,5584,53,256,309,true,true,true,,"我无法确认“清华大学混沌计算实验室”及其在2025年发布的ChaosRAG-7B模型的相关信息。

根据我的知识库，目前未检索到“清华大学混沌计算实验室”这一正式机构，也未发现与“ChaosRAG",,2026-06-22T14:13:42.313394700Z
E-hallucination-t0,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.0,256,3,200,3350,53,172,225,true,true,true,,无法确认您所提及的“清华大学混沌计算实验室”及其在2025年发布的“ChaosRAG-7B模型”。经核查，目前公开信息中不存在该实验室或该模型的任何官方发布、学术论文或可信测试成绩。请提供更多可验证的来源线索，否则无法就相关架构与指标做出说明。,,2026-06-22T14:13:46.668058100Z
E-hallucination-t0,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.0,256,4,200,4584,53,256,309,true,false,false,,,,2026-06-22T14:13:52.257210600Z
E-hallucination-t0,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.0,256,5,200,4295,53,185,238,true,true,true,,抱歉，我目前无法确认“清华大学混沌计算实验室”及其在2025年发布的“ChaosRAG-7B模型”的相关信息。我建议你通过清华大学官方网站或权威学术数据库进一步核实。如果你需要了解其他已知的AI模型或研究机构，我可以尽力提供帮助。,,2026-06-22T14:13:57.563815500Z
F-hallucination-t07,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.7,256,1,200,4932,53,256,309,true,true,true,,"经核查，我目前无法确认你提到的“清华大学混沌计算实验室”及其在2025年发布的“ChaosRAG-7B”模型的相关信息。

**具体说明如下：**

-   **机构存疑**：在公开渠道中，未查询到清华大学设有正式名称为“混沌计算实验室”的科研机构。清华大学的计算机科学、人工智能等相关研究主要集中于计算机系、交叉信息研究院、人工智能研究院等",,2026-06-22T14:14:03.510480600Z
F-hallucination-t07,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.7,256,2,200,4462,53,256,309,true,true,true,,"经过核查，我无法确认你提到的“清华大学混沌计算实验室”以及“ChaosRAG-7B模型”的存在。

具体情况如下：
1.  **机构信息",,2026-06-22T14:14:08.989178900Z
F-hallucination-t07,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.7,256,3,200,4944,53,256,309,true,false,false,,,,2026-06-22T14:14:14.938618700Z
F-hallucination-t07,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.7,256,4,200,4992,53,256,309,true,true,true,,"我无法确认该信息的真实性。根据目前可验证的公开资料，**“清华大学混沌计算实验室”这一机构名称并不存在**，清华大学校内院系和研究机构中未检索到该名称。

同时，**ChaosRAG-7B 这一模型**在主要的学术论文预印本平台（如arXiv）、GitHub开源模型库（Hugging Face、ModelScope）",,2026-06-22T14:14:20.939894700Z
F-hallucination-t07,hallucination-probe-001,HALLUCINATION_PROBE,deepseek-v4-pro,0.7,256,5,200,4857,53,251,304,true,true,true,,"无法确认您所描述的“清华大学混沌计算实验室”及其在2025年发布的ChaosRAG-7B模型。

经检索，目前公开信息中并不存在名为“清华大学混沌计算实验室”的机构，也没有名为ChaosRAG-7B的模型发布记录。因此，无法提供该模型的核心架构和测试成绩。如果您指的是其他机构或类似名称的模型，请提供更多线索以便进一步核查。",,2026-06-22T14:14:26.799979800Z
